Артикул;Наименование;ТИП;стиль;"МРЦ руб";"цвет арматуры";"цвет абажура";"материал арматуры";"материал абажура";"цвет встройки";"цвет кабеля/цепи";производитель;цоколь;напряжение;"мощность ламп";"степень защиты";"кол-во ламп";диаметр;"диаметр абажура/плафона";ширина;высота;"диапазон регулировки min-max";коллекция;фото;вес;Количество
"LDP 11337 GD";"Подвесной светильник Lumina Deco Bessa LDP 11337 GD";Светильники;"Лофт, Модерн";7000;"золотой, прозрачный";"золотой, прозрачный";"металл, стекло";"металл, стекло";золотой;прозрачный;"Lumina Deco";E27;220-240;40;IP20;1;200;200;;350;"400 - 1300";BESSA;"https://luminadecoshop.ru/23977/podvesnoj-svetilnik-lumina-deco-bessa-ldp-11337-gd.jpg;https://luminadecoshop.ru/28042/podvesnoj-svetilnik-lumina-deco-bessa-ldp-11337-gd.jpg;https://luminadecoshop.ru/28044/podvesnoj-svetilnik-lumina-deco-bessa-ldp-11337-gd.jpg;https://luminadecoshop.ru/28046/podvesnoj-svetilnik-lumina-deco-bessa-ldp-11337-gd.jpg;https://luminadecoshop.ru/28048/podvesnoj-svetilnik-lumina-deco-bessa-ldp-11337-gd.jpg;https://luminadecoshop.ru/28050/podvesnoj-svetilnik-lumina-deco-bessa-ldp-11337-gd.jpg";"4 ";20
"LDP 108-300 BK";"Подвесной светильник Lumina Deco Ibiza LDP 108-300 BK";Светильники;Современный;3900;черный;прозрачный;"стекло, металл";стекло;черный;черный;"Lumina Deco";E27;220-240;40;IP20;1;300;300;;320;"350 - 1500";"LDP 108 (BK)";"https://luminadecoshop.ru/16769/podvesnoj-svetilnik-lumina-deco-ibiza-ldp-108-300-bk.jpg;https://luminadecoshop.ru/19658/podvesnoj-svetilnik-lumina-deco-ibiza-ldp-108-300-bk.jpg;https://luminadecoshop.ru/21326/podvesnoj-svetilnik-lumina-deco-ibiza-ldp-108-300-bk.jpg;https://luminadecoshop.ru/21327/podvesnoj-svetilnik-lumina-deco-ibiza-ldp-108-300-bk.jpg;https://luminadecoshop.ru/24042/podvesnoj-svetilnik-lumina-deco-ibiza-ldp-108-300-bk.jpg;https://luminadecoshop.ru/24124/podvesnoj-svetilnik-lumina-deco-ibiza-ldp-108-300-bk.jpg;https://luminadecoshop.ru/24174/podvesnoj-svetilnik-lumina-deco-ibiza-ldp-108-300-bk.jpg;https://luminadecoshop.ru/24501/podvesnoj-svetilnik-lumina-deco-ibiza-ldp-108-300-bk.jpg";"4 ";0
"LDW 6802 PR";"Бра Lumina Deco Navarro LDW 6802 PR";Бра;"Индустриальный, Лофт";6450;бронза;прозрачный;"стекло, металл";стекло;черный;;"Lumina Deco";E27;220-240;40;IP20;1;;180;180;250;;NAVARRO;"https://luminadecoshop.ru/28251/bra-lumina-deco-navarro-ldw-6802-pr.jpg;https://luminadecoshop.ru/28278/bra-lumina-deco-navarro-ldw-6802-pr.jpg";3;12
"LDP 108-300 GD";"Подвесной светильник Lumina Deco Ibiza LDP 108-300 GD";Светильники;Современный;5600;золотой;"золотой, прозрачный";"стекло, металл";стекло;серебряный;прозрачный;"Lumina Deco";E27;220-240;40;IP20;1;300;300;;320;"350 - 1500";IBIZA;"https://luminadecoshop.ru/16646/podvesnoj-svetilnik-lumina-deco-ibiza-ldp-108-300-gd.jpg;https://luminadecoshop.ru/18133/podvesnoj-svetilnik-lumina-deco-ibiza-ldp-108-300-gd.jpg;https://luminadecoshop.ru/21877/podvesnoj-svetilnik-lumina-deco-ibiza-ldp-108-300-gd.jpg;https://luminadecoshop.ru/21878/podvesnoj-svetilnik-lumina-deco-ibiza-ldp-108-300-gd.jpg;https://luminadecoshop.ru/21879/podvesnoj-svetilnik-lumina-deco-ibiza-ldp-108-300-gd.jpg;https://luminadecoshop.ru/23180/podvesnoj-svetilnik-lumina-deco-ibiza-ldp-108-300-gd.jpg;https://luminadecoshop.ru/23181/podvesnoj-svetilnik-lumina-deco-ibiza-ldp-108-300-gd.jpg;https://luminadecoshop.ru/23186/podvesnoj-svetilnik-lumina-deco-ibiza-ldp-108-300-gd.jpg;https://luminadecoshop.ru/24067/podvesnoj-svetilnik-lumina-deco-ibiza-ldp-108-300-gd.jpg;https://luminadecoshop.ru/25870/podvesnoj-svetilnik-lumina-deco-ibiza-ldp-108-300-gd.jpg";"4 ";0
"LDW 6801-1 MD+PR";"Бра Lumina Deco Nubi LDW 6801-1 MD+PR";Бра;"Индустриальный, Лофт";6300;бронза;прозрачный;"стекло, металл";стекло;черный;;"Lumina Deco";E27;220-240;40;IP20;1;;180;180;250;да;NUBI;"https://luminadecoshop.ru/25621/bra-lumina-deco-nubi-ldw-6801-1-mdpr.jpg;https://luminadecoshop.ru/28281/bra-lumina-deco-nubi-ldw-6801-1-mdpr.jpg";2;0
"LDW 66249-2 BK";"Бра Lumina Deco Denica LDW 66249-2 BK";Бра;Классический;18900;"черный, прозрачный";черный;"стекло, хрусталь, ткань";;;;"Lumina Deco";E14;220-240;40;IP20;2;;130;300;380;да;DENICA;"https://luminadecoshop.ru/16975/bra-lumina-deco-denica-ldw-66249-2-bk.jpg;https://luminadecoshop.ru/17150/bra-lumina-deco-denica-ldw-66249-2-bk.jpg;https://luminadecoshop.ru/21094/bra-lumina-deco-denica-ldw-66249-2-bk.jpg;https://luminadecoshop.ru/21095/bra-lumina-deco-denica-ldw-66249-2-bk.jpg;https://luminadecoshop.ru/21096/bra-lumina-deco-denica-ldw-66249-2-bk.jpg;https://luminadecoshop.ru/22301/bra-lumina-deco-denica-ldw-66249-2-bk.jpg;https://luminadecoshop.ru/24728/bra-lumina-deco-denica-ldw-66249-2-bk.jpg;https://luminadecoshop.ru/24779/bra-lumina-deco-denica-ldw-66249-2-bk.jpg;https://luminadecoshop.ru/24884/bra-lumina-deco-denica-ldw-66249-2-bk.jpg;https://luminadecoshop.ru/24946/bra-lumina-deco-denica-ldw-66249-2-bk.jpg";5;0
"LDP 173-260 CHR";"Подвесной светильник Lumina Deco Brico LDP 173-260 CHR";Светильники;Лофт;10400;хром;прозрачный;"стекло, металл";стекло;хром;черный;"Lumina Deco";E27;220-240;40;IP20;1;260;260;;250;"300 - 1300";BRICO;"https://luminadecoshop.ru/28361/podvesnoj-svetilnik-lumina-deco-brico-ldp-173-260-chr.jpg;https://luminadecoshop.ru/28362/podvesnoj-svetilnik-lumina-deco-brico-ldp-173-260-chr.jpg;https://luminadecoshop.ru/28363/podvesnoj-svetilnik-lumina-deco-brico-ldp-173-260-chr.jpg;https://luminadecoshop.ru/28364/podvesnoj-svetilnik-lumina-deco-brico-ldp-173-260-chr.jpg;https://luminadecoshop.ru/28365/podvesnoj-svetilnik-lumina-deco-brico-ldp-173-260-chr.jpg";"4 ";2
"LDW 66247-2 WT+CHR";"Бра Lumina Deco Glamour LDW 66247-2 WT+CHR";Бра;Классический;8000;"белый, хром";;"хрусталь, металл, ткань";ткань;хром;;"Lumina Deco";E14;220-240;40;IP20;2;;150;300;380;да;GLAMOUR;"https://luminadecoshop.ru/16547/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/18012/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/21204/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/21886/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/21887/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/21888/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/21889/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/23112/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/23119/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/23125/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/23126/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/23132/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/25617/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/25698/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg";5;13
"LDP 160-12 BK";"Подвесной светильник Lumina Deco Zodiak LDP 160-12 BK";Светильники;Современный;35350;черный;прозрачный;"стекло, металл";стекло;черный;черный;"Lumina Deco";E27;220-240;40;IP20;"10 и выше";900;130;-;400;"600 - 900";Zodiak;"https://luminadecoshop.ru/16551/podvesnoj-svetilnik-lumina-deco-zodiak-ldp-160-12-bk.jpg;https://luminadecoshop.ru/19376/podvesnoj-svetilnik-lumina-deco-zodiak-ldp-160-12-bk.jpg;https://luminadecoshop.ru/20553/podvesnoj-svetilnik-lumina-deco-zodiak-ldp-160-12-bk.jpg;https://luminadecoshop.ru/23889/podvesnoj-svetilnik-lumina-deco-zodiak-ldp-160-12-bk.jpg;https://luminadecoshop.ru/25255/podvesnoj-svetilnik-lumina-deco-zodiak-ldp-160-12-bk.jpg;https://luminadecoshop.ru/25266/podvesnoj-svetilnik-lumina-deco-zodiak-ldp-160-12-bk.jpg;https://luminadecoshop.ru/25282/podvesnoj-svetilnik-lumina-deco-zodiak-ldp-160-12-bk.jpg;https://luminadecoshop.ru/25804/podvesnoj-svetilnik-lumina-deco-zodiak-ldp-160-12-bk.jpg";"7 ";7
"LDP 173-260 MD";"Подвесной светильник Lumina Deco Brico LDP 173-260 MD";Светильники;Лофт;10400;бронза;;стекло;стекло;бронза;черный;"Lumina Deco";E27;220-240;40;IP20;1;260;260;;250;"300 - 1300";"LOFT ";"https://luminadecoshop.ru/28366/podvesnoj-svetilnik-lumina-deco-brico-ldp-173-260-md.jpg;https://luminadecoshop.ru/28367/podvesnoj-svetilnik-lumina-deco-brico-ldp-173-260-md.jpg;https://luminadecoshop.ru/28368/podvesnoj-svetilnik-lumina-deco-brico-ldp-173-260-md.jpg;https://luminadecoshop.ru/28369/podvesnoj-svetilnik-lumina-deco-brico-ldp-173-260-md.jpg";"4 ";0
